Sphere — volume | ((V=\tfrac{4}{3}\pi r^3))
Binomial X\sim\mathrm{Bin}(n,p) — pmf | ((P(X=r)=\binom{n}{r}p^{\,r}(1-p)^{\,n-r}))
Binomial — mean/variance | ((\mu=np,\ \sigma^2=np(1-p)))
Geometric X\sim\mathrm{Geo}(p) — pmf | ((P(X=r)=(1-p)^{\,r-1}p))
Geometric — mean | ((\mu=\tfrac{1}{p}))
Poisson X\sim\mathrm{Po}(\lambda) — pmf | ((P(X=r)=e^{-\lambda}\tfrac{\lambda^r}{r!}))
Poisson — mean/variance | ((\mu=\lambda,\ \sigma^2=\lambda))
Continuous RV — expectation | ((\mathrm{E}(X)=\int x f(x)\,dx))
Continuous RV — variance | ((\mathrm{Var}(X)=\int x^2 f(x)\,dx-[\mathrm{E}(X)]^2))
Unbiased estimator — sample mean | ((\bar{x}=\tfrac{1}{n}\sum x))
Unbiased estimator — sample variance | ((s^2=\tfrac{1}{n-1}\sum (x-\bar{x})^2=\tfrac{1}{n-1}\Big(\sum x^2-\tfrac{(\sum x)^2}{n}\Big)))
Central Limit Theorem — sample mean | ((\bar{X}\approx N\!\Big(\mu,\ \tfrac{\sigma^2}{n}\Big)))
Approximate distribution — sample proportion | ((\hat{p}\approx N\!\Big(p,\ \tfrac{p(1-p)}{n}\Big)))
